Source,Target,Value
"""Abbott, Diane""","""Department for International Development""",34
"""Abbott, Diane""","""Department for Work and Pensions""",1
"""Abbott, Diane""","""Department of Energy and Climate Change""",3
"""Abbott, Diane""","""Foreign and Commonwealth Office""",3
"""Abbott, Diane""","""Home Office""",7
"""Abrahams, Debbie""","""Cabinet Office; UK Statistics Authority""",1
"""Abrahams, Debbie""","""Communities and Local Government""",4
"""Abrahams, Debbie""","""Department for Culture, Media and Sport""",4
"""Abrahams, Debbie""","""Department for Environment, Food and Rural Affairs""",1
"""Abrahams, Debbie""","""Department for Work and Pensions""",42
"""Abrahams, Debbie""","""Department of Health""",29
"""Abrahams, Debbie""","""Foreign and Commonwealth Office""",4
"""Abrahams, Debbie""","""Ministry of Defence""",1
"""Abrahams, Debbie""","""Ministry of Justice""",4
"""Abrahams, Debbie""","""Treasury""",7
"""Adams, Nigel""","""Cabinet Office; UK Statistics Authority""",1
"""Adams, Nigel""","""Department for Business, Innovation and Skills""",2
"""Adams, Nigel""","""Department for Culture, Media and Sport""",5
"""Adams, Nigel""","""Department for Environment, Food and Rural Affairs""",1
"""Adams, Nigel""","""Department of Energy and Climate Change""",2
"""Adams, Nigel""","""Department of Health""",4
"""Adams, Nigel""","""Treasury""",3
"""Afriyie, Adam""","""Department for Business, Innovation and Skills""",9
"""Afriyie, Adam""","""Department for Culture, Media and Sport""",5
"""Afriyie, Adam""","""Department for Education""",4
"""Afriyie, Adam""","""Department for Environment, Food and Rural Affairs""",4
"""Afriyie, Adam""","""Department for International Development""",2
"""Afriyie, Adam""","""Department for Transport""",9
"""Afriyie, Adam""","""Department for Work and Pensions""",1
"""Afriyie, Adam""","""Department of Energy and Climate Change""",11
"""Afriyie, Adam""","""Department of Health""",2
"""Afriyie, Adam""","""Foreign and Commonwealth Office""",2
"""Afriyie, Adam""","""Home Office""",1
"""Afriyie, Adam""","""Treasury""",10
"""Ahmed-Sheikh, Tasmina""","""Department for Business, Innovation and Skills""",8
"""Ahmed-Sheikh, Tasmina""","""Department for International Development""",4
"""Ahmed-Sheikh, Tasmina""","""Department for Work and Pensions""",3
"""Ahmed-Sheikh, Tasmina""","""Department of Energy and Climate Change""",2
"""Ahmed-Sheikh, Tasmina""","""Foreign and Commonwealth Office""",7
"""Ahmed-Sheikh, Tasmina""","""Home Office""",3
"""Ahmed-Sheikh, Tasmina""","""Minister for Women and Equalities""",1
"""Ahmed-Sheikh, Tasmina""","""Ministry of Defence""",2
"""Ahmed-Sheikh, Tasmina""","""Ministry of Justice""",1
"""Ahmed-Sheikh, Tasmina""","""Scotland Office""",1
"""Ahmed-Sheikh, Tasmina""","""Treasury""",4
"""Aldous, Peter""","""Department for Business, Innovation and Skills""",1
"""Aldous, Peter""","""Department for Environment, Food and Rural Affairs""",1
"""Alexander, Heidi""","""Department for Transport""",1
"""Alexander, Heidi""","""Department of Health""",60
"""Alexander, Heidi""","""Foreign and Commonwealth Office""",3
"""Ali, Rushanara""","""Cabinet Office""",2
"""Ali, Rushanara""","""Department for Business, Innovation and Skills""",2
"""Ali, Rushanara""","""Department for Education""",4
"""Ali, Rushanara""","""Department for International Development""",5
"""Ali, Rushanara""","""Department for Transport""",1
"""Ali, Rushanara""","""Department for Work and Pensions""",4
"""Ali, Rushanara""","""Department of Energy and Climate Change""",6
"""Ali, Rushanara""","""Department of Health""",4
"""Ali, Rushanara""","""Foreign and Commonwealth Office""",1
"""Ali, Rushanara""","""Home Office""",3
"""Ali, Rushanara""","""Treasury""",4
"""Allan, Lucy""","""Department for Business, Innovation and Skills""",1
"""Allan, Lucy""","""Department for International Development""",1
"""Allan, Lucy""","""Department for Transport""",4
"""Allan, Lucy""","""Department for Work and Pensions""",1
"""Allan, Lucy""","""Department of Health""",1
"""Allan, Lucy""","""Home Office""",2
"""Allan, Lucy""","""Treasury""",1
"""Allen, Graham""","""Cabinet Office""",3
"""Allen, Graham""","""Communities and Local Government""",1
"""Allen, Graham""","""Department for Transport""",1
"""Allen, Graham""","""Department for Work and Pensions""",2
"""Allen, Graham""","""Department of Health""",7
"""Allen, Graham""","""Foreign and Commonwealth Office""",1
"""Allen, Graham""","""Home Office""",1
"""Allen, Graham""","""Ministry of Defence""",4
"""Allen, Graham""","""Northern Ireland Office""",2
"""Allen, Graham""","""Prime Minister""",3
"""Allen, Heidi""","""Cabinet Office""",1
"""Allen, Heidi""","""Department for Business, Innovation and Skills""",1
"""Allen, Heidi""","""Department for Culture, Media and Sport""",1
"""Allen, Heidi""","""Department for Education""",1
"""Allen, Heidi""","""Department for International Development""",1
"""Allen, Heidi""","""Department for Work and Pensions""",2
"""Allen, Heidi""","""Department of Energy and Climate Change""",1
"""Allen, Heidi""","""Department of Health""",1
"""Amess, David""","""Department for Business, Innovation and Skills""",1
"""Amess, David""","""Department for Culture, Media and Sport""",4
"""Amess, David""","""Department for Education""",20
"""Amess, David""","""Department for Environment, Food and Rural Affairs""",7
"""Amess, David""","""Department for International Development""",3
"""Amess, David""","""Department for Transport""",4
"""Amess, David""","""Department of Energy and Climate Change""",2
"""Amess, David""","""Department of Health""",96
"""Amess, David""","""Foreign and Commonwealth Office""",6
"""Amess, David""","""Home Office""",5
"""Amess, David""","""Ministry of Justice""",12
"""Amess, David""","""Treasury""",15
"""Anderson, David""","""Cabinet Office""",5
"""Anderson, David""","""Communities and Local Government""",7
"""Anderson, David""","""Department for Business, Innovation and Skills""",16
"""Anderson, David""","""Department for Culture, Media and Sport""",4
"""Anderson, David""","""Department for Education""",11
"""Anderson, David""","""Department for Environment, Food and Rural Affairs""",6
"""Anderson, David""","""Department for International Development""",2
"""Anderson, David""","""Department for Transport""",1
"""Anderson, David""","""Department for Work and Pensions""",8
"""Anderson, David""","""Department of Energy and Climate Change""",40
"""Anderson, David""","""Department of Health""",29
"""Anderson, David""","""Foreign and Commonwealth Office""",8
"""Anderson, David""","""Home Office""",7
"""Anderson, David""","""House of Commons Commission""",1
"""Anderson, David""","""Minister for Women and Equalities""",3
"""Anderson, David""","""Ministry of Defence""",28
"""Anderson, David""","""Ministry of Justice""",20
"""Anderson, David""","""Prime Minister""",5
"""Anderson, David""","""Treasury""",8
"""Andrew, Stuart""","""Communities and Local Government""",4
"""Andrew, Stuart""","""Department for Business, Innovation and Skills""",3
"""Andrew, Stuart""","""Department for Education""",3
"""Andrew, Stuart""","""Department for Environment, Food and Rural Affairs""",1
"""Andrew, Stuart""","""Department of Health""",8
"""Andrew, Stuart""","""Scotland Office""",1
"""Ansell, Caroline""","""Attorney General""",2
"""Ansell, Caroline""","""Communities and Local Government""",1
"""Ansell, Caroline""","""Department for Business, Innovation and Skills""",1
"""Ansell, Caroline""","""Department for Culture, Media and Sport""",2
"""Ansell, Caroline""","""Department for Education""",7
"""Ansell, Caroline""","""Department for Environment, Food and Rural Affairs""",4
"""Ansell, Caroline""","""Department for International Development""",1
"""Ansell, Caroline""","""Department for Transport""",10
"""Ansell, Caroline""","""Department for Work and Pensions""",1
"""Ansell, Caroline""","""Department of Energy and Climate Change""",1
"""Ansell, Caroline""","""Department of Health""",4
"""Ansell, Caroline""","""Home Office""",2
"""Ansell, Caroline""","""Ministry of Defence""",1
"""Ansell, Caroline""","""Ministry of Justice""",7
"""Ansell, Caroline""","""Treasury""",1
"""Argar, Edward""","""Department for Business, Innovation and Skills""",2
"""Argar, Edward""","""Department for Culture, Media and Sport""",4
"""Argar, Edward""","""Department for Education""",1
"""Argar, Edward""","""Department for International Development""",4
"""Argar, Edward""","""Department for Transport""",1
"""Argar, Edward""","""Department of Health""",6
"""Argar, Edward""","""Foreign and Commonwealth Office""",3
"""Argar, Edward""","""Home Office""",1
"""Argar, Edward""","""Ministry of Defence""",1
"""Argar, Edward""","""Treasury""",2
"""Arkless, Richard""","""Cabinet Office""",1
"""Arkless, Richard""","""Communities and Local Government""",2
"""Arkless, Richard""","""Department for Business, Innovation and Skills""",2
"""Arkless, Richard""","""Department for Culture, Media and Sport""",2
"""Arkless, Richard""","""Department for Education""",1
"""Arkless, Richard""","""Department for Environment, Food and Rural Affairs""",6
"""Arkless, Richard""","""Department for International Development""",1
"""Arkless, Richard""","""Department for Transport""",2
"""Arkless, Richard""","""Department for Work and Pensions""",2
"""Arkless, Richard""","""Department of Energy and Climate Change""",1
"""Arkless, Richard""","""Department of Health""",1
"""Arkless, Richard""","""Foreign and Commonwealth Office""",3
"""Arkless, Richard""","""Home Office""",4
"""Arkless, Richard""","""House of Commons Commission""",2
"""Arkless, Richard""","""Ministry of Defence""",1
"""Arkless, Richard""","""Ministry of Justice""",5
"""Arkless, Richard""","""Scotland Office""",3
"""Arkless, Richard""","""Treasury""",3
"""Ashworth, Jonathan""","""Attorney General""",1
"""Ashworth, Jonathan""","""Cabinet Office""",14
"""Ashworth, Jonathan""","""Communities and Local Government""",7
"""Ashworth, Jonathan""","""Department for Business, Innovation and Skills""",14
"""Ashworth, Jonathan""","""Department for Culture, Media and Sport""",7
"""Ashworth, Jonathan""","""Department for Education""",7
"""Ashworth, Jonathan""","""Department for Environment, Food and Rural Affairs""",7
"""Ashworth, Jonathan""","""Department for International Development""",7
"""Ashworth, Jonathan""","""Department for Transport""",7
"""Ashworth, Jonathan""","""Department for Work and Pensions""",11
"""Ashworth, Jonathan""","""Department of Energy and Climate Change""",7
"""Ashworth, Jonathan""","""Department of Health""",7
"""Ashworth, Jonathan""","""Foreign and Commonwealth Office""",8
"""Ashworth, Jonathan""","""Home Office""",7
"""Ashworth, Jonathan""","""Leader of the House of Commons""",1
"""Ashworth, Jonathan""","""Ministry of Defence""",7
"""Ashworth, Jonathan""","""Ministry of Justice""",7
"""Ashworth, Jonathan""","""Northern Ireland Office""",1
"""Ashworth, Jonathan""","""Prime Minister""",5
"""Ashworth, Jonathan""","""Scotland Office""",1
"""Ashworth, Jonathan""","""Treasury""",33
"""Ashworth, Jonathan""","""Wales Office""",1
"""Austin, Ian""","""Attorney General""",3
"""Austin, Ian""","""Communities and Local Government""",5
"""Austin, Ian""","""Department for Business, Innovation and Skills""",18
"""Austin, Ian""","""Department for Culture, Media and Sport""",6
"""Austin, Ian""","""Department for Education""",49
"""Austin, Ian""","""Department for Environment, Food and Rural Affairs""",3
"""Austin, Ian""","""Department for International Development""",1
"""Austin, Ian""","""Department for Transport""",6
"""Austin, Ian""","""Department for Work and Pensions""",7
"""Austin, Ian""","""Department of Health""",17
"""Austin, Ian""","""Foreign and Commonwealth Office""",4
"""Austin, Ian""","""Home Office""",13
"""Austin, Ian""","""Ministry of Defence""",2
"""Austin, Ian""","""Ministry of Justice""",8
"""Austin, Ian""","""Treasury""",9
"""Baker, Steve""","""Department of Energy and Climate Change""",1
"""Baker, Steve""","""Department of Health""",3
"""Baker, Steve""","""Foreign and Commonwealth Office""",4
"""Baker, Steve""","""Ministry of Defence""",3
"""Baker, Steve""","""Treasury""",1
"""Bardell, Hannah""","""Department for Business, Innovation and Skills""",3
"""Bardell, Hannah""","""Department for Culture, Media and Sport""",1
"""Bardell, Hannah""","""Home Office""",3
"""Bardell, Hannah""","""House of Commons Commission""",1
"""Bardell, Hannah""","""Ministry of Justice""",1
"""Bardell, Hannah""","""Scotland Office""",1
"""Bardell, Hannah""","""Treasury""",10
"""Baron, John""","""Cabinet Office; UK Statistics Authority""",1
"""Baron, John""","""Communities and Local Government""",1
"""Baron, John""","""Department of Health""",20
"""Barron, Kevin""","""Department of Health""",13
"""Bebb, Guto""","""Department for Business, Innovation and Skills""",5
"""Bebb, Guto""","""Department for Work and Pensions""",2
"""Bebb, Guto""","""Department of Health""",7
"""Bebb, Guto""","""Foreign and Commonwealth Office""",2
"""Bebb, Guto""","""Home Office""",1
"""Bebb, Guto""","""Ministry of Justice""",1
"""Bebb, Guto""","""Treasury""",8
"""Beckett, Margaret""","""Department for Education""",1
"""Beckett, Margaret""","""Foreign and Commonwealth Office""",2
"""Beckett, Margaret""","""Ministry of Justice""",1
"""Bellingham, Henry""","""Attorney General""",1
"""Bellingham, Henry""","""Department for Business, Innovation and Skills""",1
"""Bellingham, Henry""","""Department for Culture, Media and Sport""",1
"""Bellingham, Henry""","""Department for Environment, Food and Rural Affairs""",3
"""Bellingham, Henry""","""Department for Work and Pensions""",1
"""Bellingham, Henry""","""Department of Health""",3
"""Bellingham, Henry""","""Ministry of Justice""",1
"""Bellingham, Henry""","""Northern Ireland Office""",2
"""Benn, Hilary""","""Department for Business, Innovation and Skills""",2
"""Benn, Hilary""","""Department for Environment, Food and Rural Affairs""",6
"""Benn, Hilary""","""Department for International Development""",14
"""Benn, Hilary""","""Department for Transport""",1
"""Benn, Hilary""","""Foreign and Commonwealth Office""",130
"""Benn, Hilary""","""Home Office""",10
"""Benn, Hilary""","""Leader of the House of Commons""",1
"""Benn, Hilary""","""Ministry of Defence""",1
"""Benn, Hilary""","""Treasury""",4
"""Benyon, Richard""","""Communities and Local Government""",1
"""Benyon, Richard""","""Department for Education""",1
"""Benyon, Richard""","""Department for Environment, Food and Rural Affairs""",5
"""Benyon, Richard""","""Department of Health""",8
"""Benyon, Richard""","""Foreign and Commonwealth Office""",5
"""Beresford, Paul""","""Cabinet Office""",1
"""Beresford, Paul""","""Department for Environment, Food and Rural Affairs""",1
"""Beresford, Paul""","""Department for Transport""",1
"""Beresford, Paul""","""Department for Work and Pensions""",1
"""Beresford, Paul""","""Department of Health""",2
"""Berger, Luciana""","""Attorney General""",1
"""Berger, Luciana""","""Cabinet Office""",4
"""Berger, Luciana""","""Cabinet Office; UK Statistics Authority""",4
"""Berger, Luciana""","""Communities and Local Government""",2
"""Berger, Luciana""","""Department for Business, Innovation and Skills""",9
"""Berger, Luciana""","""Department for Culture, Media and Sport""",5
"""Berger, Luciana""","""Department for Education""",11
"""Berger, Luciana""","""Department for Environment, Food and Rural Affairs""",1
"""Berger, Luciana""","""Department for Transport""",2
"""Berger, Luciana""","""Department for Work and Pensions""",14
"""Berger, Luciana""","""Department of Health""",402
"""Berger, Luciana""","""Home Office""",8
"""Berger, Luciana""","""Minister for Women and Equalities""",3
"""Berger, Luciana""","""Ministry of Defence""",2
"""Berger, Luciana""","""Ministry of Justice""",12
"""Berger, Luciana""","""Prime Minister""",2
"""Berger, Luciana""","""Treasury""",6
"""Berry, Jake""","""Communities and Local Government""",6
"""Berry, Jake""","""Department for Environment, Food and Rural Affairs""",7
"""Berry, Jake""","""Department for Work and Pensions""",1
"""Berry, Jake""","""Department of Health""",1
"""Berry, Jake""","""Ministry of Justice""",6
"""Berry, James""","""Communities and Local Government""",1
"""Berry, James""","""Department for Business, Innovation and Skills""",1
"""Berry, James""","""Department for Culture, Media and Sport""",1
"""Berry, James""","""Department for Education""",1
"""Berry, James""","""Department of Health""",3
"""Berry, James""","""Home Office""",3
"""Berry, James""","""Minister for Women and Equalities""",1
"""Berry, James""","""Ministry of Justice""",1
"""Berry, James""","""Treasury""",1
"""Betts, Clive""","""Cabinet Office""",1
"""Betts, Clive""","""Communities and Local Government""",29
"""Betts, Clive""","""Department for Business, Innovation and Skills""",5
"""Betts, Clive""","""Department for Culture, Media and Sport""",1
"""Betts, Clive""","""Department for Transport""",1
"""Betts, Clive""","""Department for Work and Pensions""",1
"""Betts, Clive""","""Department of Health""",3
"""Betts, Clive""","""Treasury""",5
"""Bingham, Andrew""","""Department for Culture, Media and Sport""",4
"""Bingham, Andrew""","""Department for Environment, Food and Rural Affairs""",3
"""Bingham, Andrew""","""Department of Energy and Climate Change""",1
"""Bingham, Andrew""","""Department of Health""",3
"""Bingham, Andrew""","""Treasury""",3
"""Black, Mhairi""","""Department for Work and Pensions""",1
"""Black, Mhairi""","""Treasury""",3
"""Blackford, Ian""","""Department for Business, Innovation and Skills""",2
"""Blackford, Ian""","""Department for Culture, Media and Sport""",2
"""Blackford, Ian""","""Department for Environment, Food and Rural Affairs""",4
"""Blackford, Ian""","""Department for Transport""",2
"""Blackford, Ian""","""Department for Work and Pensions""",8
"""Blackford, Ian""","""Department of Energy and Climate Change""",3
"""Blackford, Ian""","""Department of Health""",4
"""Blackford, Ian""","""Ministry of Defence""",6
"""Blackford, Ian""","""Scotland Office""",1
"""Blackford, Ian""","""Treasury""",15
"""Blackman, Bob""","""Cabinet Office""",1
"""Blackman, Bob""","""Communities and Local Government""",3
"""Blackman, Bob""","""Department for Business, Innovation and Skills""",1
"""Blackman, Bob""","""Department for Culture, Media and Sport""",2
"""Blackman, Bob""","""Department for Education""",2
"""Blackman, Bob""","""Department for International Development""",1
"""Blackman, Bob""","""Department for Transport""",1
"""Blackman, Bob""","""Department of Health""",2
"""Blackman, Bob""","""Foreign and Commonwealth Office""",7
"""Blackman, Bob""","""Home Office""",3
"""Blackman, Bob""","""Ministry of Defence""",1
"""Blackman, Bob""","""Treasury""",4
"""Blackman, Kirsty""","""Cabinet Office""",3
"""Blackman, Kirsty""","""Communities and Local Government""",1
"""Blackman, Kirsty""","""Department for Business, Innovation and Skills""",1
"""Blackman, Kirsty""","""Department for Culture, Media and Sport""",1
"""Blackman, Kirsty""","""Department for Education""",1
"""Blackman, Kirsty""","""Department for Environment, Food and Rural Affairs""",1
"""Blackman, Kirsty""","""Department for International Development""",1
"""Blackman, Kirsty""","""Department for Transport""",1
"""Blackman, Kirsty""","""Department for Work and Pensions""",8
"""Blackman, Kirsty""","""Department of Energy and Climate Change""",1
"""Blackman, Kirsty""","""Department of Health""",1
"""Blackman, Kirsty""","""Foreign and Commonwealth Office""",1
"""Blackman, Kirsty""","""Home Office""",8
"""Blackman, Kirsty""","""House of Commons Commission""",4
"""Blackman, Kirsty""","""Leader of the House of Commons""",16
"""Blackman, Kirsty""","""Ministry of Defence""",1
"""Blackman, Kirsty""","""Ministry of Justice""",8
"""Blackman, Kirsty""","""Northern Ireland Office""",1
"""Blackman, Kirsty""","""Scotland Office""",12
"""Blackman, Kirsty""","""Treasury""",2
"""Blackman, Kirsty""","""Wales Office""",1
"""Blackman-Woods, Roberta""","""Communities and Local Government""",37
"""Blackman-Woods, Roberta""","""Department for Business, Innovation and Skills""",1
"""Blackman-Woods, Roberta""","""Home Office""",6
"""Blackwood, Nicola""","""Attorney General""",1
"""Blackwood, Nicola""","""Cabinet Office""",2
"""Blackwood, Nicola""","""Communities and Local Government""",1
"""Blackwood, Nicola""","""Department for Business, Innovation and Skills""",1
"""Blackwood, Nicola""","""Department for Culture, Media and Sport""",1
"""Blackwood, Nicola""","""Department for Education""",1
"""Blackwood, Nicola""","""Department for Environment, Food and Rural Affairs""",1
"""Blackwood, Nicola""","""Department for International Development""",1
"""Blackwood, Nicola""","""Department for Transport""",1
"""Blackwood, Nicola""","""Department for Work and Pensions""",1
"""Blackwood, Nicola""","""Department of Energy and Climate Change""",1
"""Blackwood, Nicola""","""Department of Health""",1
"""Blackwood, Nicola""","""Foreign and Commonwealth Office""",1
"""Blackwood, Nicola""","""Home Office""",1
"""Blackwood, Nicola""","""Leader of the House of Commons""",1
"""Blackwood, Nicola""","""Minister for Women and Equalities""",1
"""Blackwood, Nicola""","""Ministry of Defence""",2
"""Blackwood, Nicola""","""Ministry of Justice""",2
"""Blackwood, Nicola""","""Northern Ireland Office""",1
"""Blackwood, Nicola""","""Scotland Office""",1
"""Blackwood, Nicola""","""Treasury""",1
"""Blackwood, Nicola""","""Wales Office""",1
"""Blenkinsop, Tom""","""Communities and Local Government""",4
"""Blenkinsop, Tom""","""Department for Business, Innovation and Skills""",9
"""Blenkinsop, Tom""","""Department for Education""",1
"""Blenkinsop, Tom""","""Department for Environment, Food and Rural Affairs""",4
"""Blenkinsop, Tom""","""Department for Transport""",6
"""Blenkinsop, Tom""","""Department for Work and Pensions""",2
"""Blenkinsop, Tom""","""Department of Energy and Climate Change""",6
"""Blenkinsop, Tom""","""Department of Health""",11
"""Blenkinsop, Tom""","""Home Office""",2
"""Blenkinsop, Tom""","""Treasury""",2
"""Blomfield, Paul""","""Cabinet Office""",4
"""Blomfield, Paul""","""Cabinet Office; UK Statistics Authority""",1
"""Blomfield, Paul""","""Department for Business, Innovation and Skills""",55
"""Blomfield, Paul""","""Department for Education""",3
"""Blomfield, Paul""","""Department for International Development""",3
"""Blomfield, Paul""","""Department for Transport""",10
"""Blomfield, Paul""","""Department for Work and Pensions""",9
"""Blomfield, Paul""","""Department of Energy and Climate Change""",1
"""Blomfield, Paul""","""Department of Health""",11
"""Blomfield, Paul""","""Foreign and Commonwealth Office""",1
"""Blomfield, Paul""","""Home Office""",49
"""Blomfield, Paul""","""Ministry of Defence""",1
"""Blomfield, Paul""","""Ministry of Justice""",9
"""Blomfield, Paul""","""Treasury""",26
"""Blunt, Crispin""","""Cabinet Office""",1
"""Blunt, Crispin""","""Department for Education""",2
"""Blunt, Crispin""","""Department for Environment, Food and Rural Affairs""",1
"""Blunt, Crispin""","""Department of Health""",6
"""Blunt, Crispin""","""Foreign and Commonwealth Office""",1
"""Blunt, Crispin""","""Ministry of Defence""",4
"""Bone, Peter""","""Attorney General""",1
"""Bone, Peter""","""Cabinet Office""",1
"""Bone, Peter""","""Communities and Local Government""",4
"""Bone, Peter""","""Department for Business, Innovation and Skills""",3
"""Bone, Peter""","""Department for Culture, Media and Sport""",3
"""Bone, Peter""","""Department for Education""",2
"""Bone, Peter""","""Department for Environment, Food and Rural Affairs""",2
"""Bone, Peter""","""Department for International Development""",2
"""Bone, Peter""","""Department for Transport""",2
"""Bone, Peter""","""Department for Work and Pensions""",2
"""Bone, Peter""","""Department of Energy and Climate Change""",2
"""Bone, Peter""","""Department of Health""",3
"""Bone, Peter""","""Foreign and Commonwealth Office""",2
"""Bone, Peter""","""Home Office""",5
"""Bone, Peter""","""Leader of the House of Commons""",1
"""Bone, Peter""","""Ministry of Defence""",1
"""Bone, Peter""","""Ministry of Justice""",3
"""Bone, Peter""","""Prime Minister""",1
"""Bone, Peter""","""Speaker's Committee on the Electoral Commission""",1
"""Bone, Peter""","""Treasury""",1
"""Bone, Peter""","""Wales Office""",2
"""Borwick, Victoria""","""Department for Work and Pensions""",1
"""Borwick, Victoria""","""Department of Health""",3
"""Boswell, Philip""","""Cabinet Office""",4
"""Boswell, Philip""","""Cabinet Office; UK Statistics Authority""",1
"""Boswell, Philip""","""Communities and Local Government""",3
"""Boswell, Philip""","""Department for Business, Innovation and Skills""",34
"""Boswell, Philip""","""Department for Culture, Media and Sport""",1
"""Boswell, Philip""","""Department for Education""",4
"""Boswell, Philip""","""Department for Work and Pensions""",9
"""Boswell, Philip""","""Department of Energy and Climate Change""",3
"""Boswell, Philip""","""Department of Health""",1
"""Boswell, Philip""","""Home Office""",2
"""Boswell, Philip""","""House of Commons Commission""",1
"""Boswell, Philip""","""Leader of the House of Commons""",4
"""Boswell, Philip""","""Minister for Women and Equalities""",2
"""Boswell, Philip""","""Speaker's Committee for the Independent Parliamentary Standards Authority""",7
"""Boswell, Philip""","""Treasury""",15
"""Bottomley, Peter""","""Attorney General""",1
"""Bottomley, Peter""","""Department of Health""",5
"""Bottomley, Peter""","""Home Office""",2
"""Bottomley, Peter""","""Ministry of Justice""",1
"""Bradshaw, Ben""","""Cabinet Office""",2
"""Bradshaw, Ben""","""Department for Business, Innovation and Skills""",2
"""Bradshaw, Ben""","""Department for Environment, Food and Rural Affairs""",7
"""Bradshaw, Ben""","""Department for Transport""",1
"""Bradshaw, Ben""","""Department of Health""",25
"""Bradshaw, Ben""","""Ministry of Justice""",11
"""Brady, Graham""","""Department for Education""",3
"""Brady, Graham""","""Department for Transport""",5
"""Brady, Graham""","""Department of Health""",9
"""Brady, Graham""","""Treasury""",2
"""Brake, Tom""","""Cabinet Office""",2
"""Brake, Tom""","""Communities and Local Government""",4
"""Brake, Tom""","""Department for Business, Innovation and Skills""",3
"""Brake, Tom""","""Department for Culture, Media and Sport""",4
"""Brake, Tom""","""Department for Education""",1
"""Brake, Tom""","""Department for Environment, Food and Rural Affairs""",2
"""Brake, Tom""","""Department for International Development""",2
"""Brake, Tom""","""Department for Transport""",7
"""Brake, Tom""","""Department for Work and Pensions""",5
"""Brake, Tom""","""Department of Energy and Climate Change""",6
"""Brake, Tom""","""Department of Health""",35
"""Brake, Tom""","""Foreign and Commonwealth Office""",33
"""Brake, Tom""","""Foreign and Commonwealth Office; Department for International Development""",1
"""Brake, Tom""","""Home Office""",14
"""Brake, Tom""","""Ministry of Defence""",19
"""Brake, Tom""","""Ministry of Justice""",2
"""Brake, Tom""","""Northern Ireland Office""",3
"""Brake, Tom""","""Treasury""",12
"""Brennan, Kevin""","""Attorney General""",1
"""Brennan, Kevin""","""Cabinet Office""",6
"""Brennan, Kevin""","""Cabinet Office; UK Statistics Authority""",1
"""Brennan, Kevin""","""Communities and Local Government""",3
"""Brennan, Kevin""","""Department for Business, Innovation and Skills""",101
"""Brennan, Kevin""","""Department for Education""",36
"""Brennan, Kevin""","""Department for Work and Pensions""",4
"""Brennan, Kevin""","""Department of Energy and Climate Change""",7
"""Brennan, Kevin""","""Department of Health""",1
"""Brennan, Kevin""","""Foreign and Commonwealth Office""",2
"""Brennan, Kevin""","""Home Office""",7
"""Brennan, Kevin""","""Leader of the House of Commons""",1
"""Brennan, Kevin""","""Ministry of Defence""",1
"""Brennan, Kevin""","""Ministry of Justice""",2
"""Brennan, Kevin""","""Treasury""",36
"""Bridgen, Andrew""","""Department for Business, Innovation and Skills""",2
"""Bridgen, Andrew""","""Department for Culture, Media and Sport""",1
"""Bridgen, Andrew""","""Department for Transport""",2
"""Bridgen, Andrew""","""Department for Work and Pensions""",1
"""Bridgen, Andrew""","""Department of Health""",1
"""Bridgen, Andrew""","""Foreign and Commonwealth Office""",1
"""Bridgen, Andrew""","""Ministry of Justice""",1
"""Bridgen, Andrew""","""Treasury""",4
"""Brock, Deidre""","""Communities and Local Government""",6
"""Brock, Deidre""","""Department for Business, Innovation and Skills""",6
"""Brock, Deidre""","""Department for International Development""",2
"""Brock, Deidre""","""Department for Work and Pensions""",4
"""Brock, Deidre""","""Foreign and Commonwealth Office""",5
"""Brock, Deidre""","""Home Office""",2
"""Brock, Deidre""","""House of Commons Commission""",3
"""Brock, Deidre""","""Scotland Office""",1
"""Brock, Deidre""","""Treasury""",4
"""Brown, Alan""","""Cabinet Office""",1
"""Brown, Alan""","""Communities and Local Government""",2
"""Brown, Alan""","""Department for Business, Innovation and Skills""",10
"""Brown, Alan""","""Department for Culture, Media and Sport""",2
"""Brown, Alan""","""Department for Environment, Food and Rural Affairs""",1
"""Brown, Alan""","""Department for International Development""",4
"""Brown, Alan""","""Department for Transport""",1
"""Brown, Alan""","""Department for Work and Pensions""",5
"""Brown, Alan""","""Department of Energy and Climate Change""",20
"""Brown, Alan""","""Department of Health""",1
"""Brown, Alan""","""Foreign and Commonwealth Office""",10
"""Brown, Alan""","""Leader of the House of Commons""",1
"""Brown, Alan""","""Ministry of Defence""",8
"""Brown, Alan""","""Scotland Office""",9
"""Brown, Alan""","""Treasury""",24
"""Brown, Lyn""","""Communities and Local Government""",12
"""Brown, Lyn""","""Department for Business, Innovation and Skills""",5
"""Brown, Lyn""","""Department for International Development""",2
"""Brown, Lyn""","""Department for Transport""",1
"""Brown, Lyn""","""Foreign and Commonwealth Office""",1
"""Brown, Lyn""","""Home Office""",6
"""Brown, Nicholas""","""Cabinet Office""",1
"""Brown, Nicholas""","""Cabinet Office; UK Statistics Authority""",1
"""Brown, Nicholas""","""Communities and Local Government""",15
"""Brown, Nicholas""","""Department for Business, Innovation and Skills""",7
"""Brown, Nicholas""","""Department for Culture, Media and Sport""",3
"""Brown, Nicholas""","""Department for Education""",3
"""Brown, Nicholas""","""Department for Environment, Food and Rural Affairs""",11
"""Brown, Nicholas""","""Department for International Development""",4
"""Brown, Nicholas""","""Department for Transport""",6
"""Brown, Nicholas""","""Department for Work and Pensions""",10
